KauaiBigGal,Fri Jan 29 21:39:26 +0000 2021,-105.063942,40.564190,@cheyennehaslett https://t.co/rr6qkEcV3r,field_6,field_7,field_8,field_9,field_10
Chris_Capot,Fri Jan 29 21:39:35 +0000 2021,-78.570156,35.771681,Getting the jab for mom. #covid_19 #covid #pandemic @ Wake County Commons Building https://t.co/mJJ8dpioBX,,,,,
muddyinpb,Fri Jan 29 21:40:40 +0000 2021,-117.104989,32.810012,SO GLAD THEY ARE GONE.,,,,,
Noah__Goldberg,Fri Jan 29 21:42:05 +0000 2021,-73.968542,40.780709,Jake Bittle has promised to open a $2,000 tab at Diamond Reef for anyone who stumbles into the bar when the pandemi�� https://t.co/dg0tKaYOXQ,,,,
TasoNotTaco,Fri Jan 29 21:42:20 +0000 2021,-88.018343,41.97089,@GinaDanilovski isolation due to the pandemic combined with seasonal depression is a lethal duo,,,,,
angelissina,Fri Jan 29 21:42:22 +0000 2021,-77.014398,38.898603,Latinas are most negatively affected by the pandemic especially those is the food and restaurant industry�� https://t.co/coLQW5jozc,,,,,
keelee231,Fri Jan 29 21:42:36 +0000 2021,-118.113076,33.84465,https://t.co/XFSSHYnxjsThe past year for Karl-Anthony Towns just keeps getting worse.,,,,,
JennyWoodman,Fri Jan 29 21:42:44 +0000 2021,-122.630908,45.536402,Ahhh,this.,,,,
fitboynurse,Fri Jan 29 21:43:43 +0000 2021,-118.411907,34.020789,This cause is close to my heart - please sign: https://t.co/7xHlOGmv7Y,,,,,
jademillaaa,Fri Jan 29 21:43:53 +0000 2021,-86.14532,39.583039,My apartment had a pizza party during a pandemic but threatened to fine you for not wearing a mask at the mailbox,,,,,
fieldofregard,Fri Jan 29 21:44:23 +0000 2021,-71.982373,41.60699,Everyone knew old people in nursing  were the most vulnerable from the start of the pandemic trump quickly sent hos�� https://t.co/GVFgBo2n9Y,,,,,
overnightjoy,Fri Jan 29 21:44:55 +0000 2021,-94.561594,39.204445,Please keep that covid denier/anti masker/ pandemic partier/ general all around piece of shit Jake Paul off my tl thank you??,,,,,
the_animal33,Fri Jan 29 21:45:00 +0000 2021,-80.345263,27.300765,Thanks your the best ????????,,,,,
ChrisMejia,Fri Jan 29 21:46:07 +0000 2021,-118.156711,33.809172,This will be me and my homies once this pandemic is over!  #covidafterparty https://t.co/O4UriNv4r2,,,,,
LoveWilmot,Fri Jan 29 21:46:56 +0000 2021,-80.649862,43.395364,10 months into the pandemic...,,,,,
T_Shaw,Fri Jan 29 21:47:02 +0000 2021,-81.248786,42.948841,COME ON..WTF is going on? Who the hell is running this government disaster..,,,,,
fieldofregard,Fri Jan 29 21:47:06 +0000 2021,-71.982373,41.60699,Cuomo Knowing wrong choice just to blame trump was murder insurection,,,,,
Hanigsberg,Fri Jan 29 21:47:30 +0000 2021,-79.27257,43.629311,Great read to end the week. Humour. It��s where the truth lives.,,,,,
LoughlinRI1,Fri Jan 29 21:47:37 +0000 2021,-71.497913,41.557321,Completely agree with @joepaolinojr!!,,,,,
lkarwac,Fri Jan 29 21:47:43 +0000 2021,-70.336067,43.589408,@nytimes My family loves Grapenuts! I have noticed that since the pandemic started it has been hard to find. I hope�� https://t.co/kEBtBB8y3D,,,,,
iWags,Fri Jan 29 21:48:16 +0000 2021,-118.411907,34.020789,When the pandemic I started looking at stocks and now I��m glad I did.,,,,,
ferventfish,Fri Jan 29 21:48:58 +0000 2021,-122.766342,48.937986,Damn. You mean traveling during a pandemic will cost more than just live?! ?? #shelterinpeople #stayhom,,,,,
aubreyll392,Fri Jan 29 21:49:24 +0000 2021,-86.27054,45.00118,??,,,,,
ferventfish,Fri Jan 29 21:49:31 +0000 2021,-122.766342,48.937986,Damn. You mean traveling during a pandemic will cost more than just lives?! ?? #shelterinpeople #stayhom,,,,,
kimberly_hawks,Fri Jan 29 21:51:31 +0000 2021,-98.319925,38.498196,Rock on. ?? This is how you fight a damn pandemic.,,,,,
BrandyTaughtYou,Fri Jan 29 21:51:42 +0000 2021,-97.75384,31.079307,My wax came out great after not waxing the whole pandemic.,,,,,
yourfavegem,Fri Jan 29 21:52:31 +0000 2021,-118.348556,33.995576,Gotta drop these pandemic pounds before May so here��s goes the restrictive eating and shit ????,,,,,
gabbycrn,Fri Jan 29 21:52:35 +0000 2021,-73.020531,40.762421,She baby birded it....Oh but she wasn��t supposed to sit next to me,I bought this row thinking there is no way�� https://t.co/cNvGw1LC6F,,,,
deuceohsixx,Fri Jan 29 21:52:47 +0000 2021,-122.330602,47.614817,.@kcmetrobus is failing on all levels since the pandemic started. - the alleged ADA violation against disabled ri�� https://t.co/PXiCB7veWO,,,,,
sneschool4cast,Fri Jan 29 21:54:08 +0000 2021,-71.683502,42.036939,Given the pandemic and the way districts have chosen hybrid/remote,these are the chances for not having in-person�� https://t.co/9RZV2xF6jW,,,,
t_scott89,Fri Jan 29 21:54:43 +0000 2021,-96.761753,32.819858,Sad today. Quarantining is taking a toll on my mental health again. I��m ready for this pandemic to be over,,,,,
DrNasrien,Fri Jan 29 21:54:47 +0000 2021,-71.088712,42.31367,@netta_doc @UCLAHealth @DrToniyaSingh @aayshacader @doubleaguptamd @AmbreenMohamed @gina_lundberg ?????? thank you so�� https://t.co/1Tkx2RxTlF,,,,,
tinadetelj,Fri Jan 29 21:55:18 +0000 2021,-72.41025,41.35159,https://t.co/krI9lL1lmn Here is more on the The Essex Public Market. The full story is at 6 on WTNH News 8,,,,,
SupervisorAlejo,Fri Jan 29 21:55:45 +0000 2021,-121.641268,36.689149,@GVForsyth @EileenCN @zachfriend55 @SCSupt @PajaroValleyUSD @pajaronian @todd_guild @scsentinel It was a political�� https://t.co/cZ6dyJ92me,,,,,
JeffreyAubuchon,Fri Jan 29 21:55:49 +0000 2021,-116.51729,33.82508,I proudly made the last payment to my @Kiva loan! #thanks17 lenders loaned me capital to write my latest book,wh�� https://t.co/gmmD3KLWfZ,,,,
AllisonDabney,Fri Jan 29 21:56:09 +0000 2021,-84.340338,34.041212,I don��t like having my personal space invaded even when we are NOT in a pandemic. But having it happen now and with�� https://t.co/PB8IOOlYCr,,,,,
YosemiteMadera,Fri Jan 29 21:56:27 +0000 2021,-119.63773,37.335528,Starting Feb 8th,Yosemite will temporarily re-introduce the requirement for guests to have a reservation for acces�� https://t.co/goRDVatzF1,,,,
gofiliberto,Fri Jan 29 21:57:15 +0000 2021,-118.411907,34.020789,This agonizing decision has led over 2 million women,disproportionately Black women and Latinas,to leave the work�� https://t.co/IPmaXBcUjt,,,
1PadreWil,Fri Jan 29 21:57:54 +0000 2021,-117.119517,33.501021,@SpectrumBiz RIGHT ..... I DON��T do business with companies that WON��T work with their,long time,senior citizen c�� https://t.co/xTJQXRyIqL,,,
ZeroExQses,Fri Jan 29 21:59:14 +0000 2021,-79.861034,35.170499,What��s working in #publichealth during a #pandemic like? Send last email at 4:54pmPour a big bourbon at 4:56pm https://t.co/sdtekCHI0r,,,,,
Lo_floata,Fri Jan 29 21:59:34 +0000 2021,-73.829384,40.912499,If we bail #AMC out,post pandemic I��ll be in the movie theater with some food I brought from home without any scrutiny.,,,,
oilandmusic76,Fri Jan 29 22:00:32 +0000 2021,-73.948775,40.655138,@drbrowne You know what is one of the things I miss during this damn pandemic. Going to the bar and having the barm�� https://t.co/ln1CKLVhA0,,,,,
WinstonDeGres,Fri Jan 29 22:01:19 +0000 2021,-75.800141,45.248791,@sage4sam I love soup in winter especially in a pandemic.,,,,,
CatherineSwar17,Fri Jan 29 22:01:39 +0000 2021,-93.606369,41.576437,I'll accept 2000 a month stimulus checks till this pandemic is overI will pay off my credit cards to start with.-s�� https://t.co/0c33KFsceK,,,,,
ezzard_burdette,Fri Jan 29 22:02:16 +0000 2021,-85.242564,35.091954,For my research data. ??,,,,,
KristianBrown,Fri Jan 29 22:02:50 +0000 2021,-82.669467,40.36516,2020: The Lost Year starts next week. 13abc goes in-depth to see how the pandemic has impacted students from academ�� https://t.co/lrPVYVQKzQ,,,,,
RojoyNegroRecs,Fri Jan 29 22:03:25 +0000 2021,-117.924892,33.889347,This pandemic brings a lot of death,misery,unemployment,stress,and struggle to all of us. On the bright side,i�� https://t.co/4k6jni56BE
Chris_Capot,Fri Jan 29 22:04:31 +0000 2021,-78.570156,35.771681,Shot. #covid_19 #covid #pandemic @ Wake County Commons Building https://t.co/jJ9wduih43,,,,,
Stuck2U,Fri Jan 29 22:05:15 +0000 2021,-80.233328,25.782353,WEAR YOUR DARN MASKS,PEOPLE!??The #COVID19Pandemic #coronavirus #pandemic is NOT over yet!GET IT TOGETHER,PEOP�� https://t.co/cl6GorfonM,,,
MColeman210,Fri Jan 29 22:05:16 +0000 2021,-98.540651,29.417501,You needed research to realize people having homes is a good thing???,,,,,
ELT0XXIC0,Fri Jan 29 22:09:02 +0000 2021,-117.998733,33.692542,This pandemic says otherwise ??????,,,,,
Brad_Deuster,Fri Jan 29 22:09:25 +0000 2021,-88.008198,44.523173,@Big_loags @ewarren Angers me. We are in a pandemic. 400k dead. No real 2nd stimulus. Every Friday behind my post o�� https://t.co/BK698tzcla,,,,,
gofiliberto,Fri Jan 29 22:11:57 +0000 2021,-118.411907,34.020789,In addition to the awful impact the pandemic has had on women,we can��t overlook the toll it has taken on students,�� https://t.co/BEVGemdyDc,,,
ChuckDonigian,Fri Jan 29 22:12:33 +0000 2021,-92.258087,38.769987,Even Roy see��s the failure of our state government during the pandemic.,,,,,
